HCG ra dec z err_z Dist(Mpc) mag_g e_mag_g mag_r e_mag_r mag_i e_mag_i mag_k e_mag_k ext_g ext_r ext_i cork_g cork_r cork_i cork_k Mag_g e_Mag_g Mag_r e_Mag_r Mag_i e_Mag_i Mag_Ks e_Mag_Ks log_SM(H0=70) e_log(SM) R50(arcsec) e_R50(arcsec) R50(kpc) e_R50(kpc) ELLIPTICITY THETA_IMAGE a(arcsec) e_a(arcsec) b(arcsec) e_b(arcsec)
      HCG70d  211.0410   33.3460   0.06286   0.00016   265.554  15.6146   0.0019  14.9560   0.0016  14.5628   0.0017  13.7070   0.0750  0.0591  0.0428  0.0325   0.0994   0.0799   0.0199  -0.1119  -21.7970   0.0019  -22.4198   0.0016  -22.7427   0.0017  -23.4343   0.0750   11.000    0.030   4.925   0.010   5.966   0.012  0.245   1.00 20.048  0.039 15.130  0.028
      HCG70e  211.0240   33.3207   0.06377   0.00018   269.316  15.7917   0.0020  15.2425   0.0018  14.8884   0.0019  14.2360   0.0750  0.0586  0.0425  0.0322   0.0751   0.0729  -0.0043  -0.1175  -21.6276   0.0020  -22.1584   0.0018  -22.4251   0.0019  -22.9321   0.0750   10.834    0.030   4.075   0.009   5.002   0.012  0.140 -74.10 15.198  0.035 13.066  0.031
      HCG70f  211.0180   33.3292   0.06419   0.00043   271.067  16.8180   0.0048  16.3659   0.0049  16.0875   0.0061  16.1630   0.2600  0.0587  0.0426  0.0323   0.0570   0.0494  -0.0344  -0.1355  -20.5981   0.0048  -21.0265   0.0049  -21.2109   0.0061  -21.0020   0.2600   10.296    0.104   4.786   0.023   5.911   0.028  0.169 -67.90 15.909  0.076 13.213  0.061
      HCG70g  211.0010   33.3317   0.06341   0.00030   267.835  15.8868   0.0014  15.1829   0.0012  14.8043   0.0014  14.1330   0.0670  0.0586  0.0425  0.0323   0.1163   0.0708   0.0243  -0.1158  -21.5610   0.0014  -22.2033   0.0012  -22.5251   0.0014  -23.0241   0.0670   10.938    0.027   2.139   0.006   2.612   0.007  0.293 -78.90 13.687  0.037  9.677  0.026
      HCG72a  221.9720   19.0771   0.04172   0.00012   177.090  15.7361   0.0016  14.8732   0.0011  14.4467   0.0013 -99.0000 -99.0000  0.1280  0.0929  0.0704   0.0996   0.0614   0.0358 -99.0000  -20.8212   0.0016  -21.6108   0.0011  -21.9893   0.0013  -99.0000 -99.0000   10.770    0.001   2.582   0.005   2.128   0.004  0.603  15.30 17.728  0.036  7.041  0.014
      HCG72c  221.9870   19.0451   0.04357   0.00013   184.882  15.6617   0.0020  14.7838   0.0016  14.3799   0.0018  13.3600   0.0800  0.1243  0.0901  0.0683   0.1109   0.0550   0.0354  -0.0807  -21.0006   0.0020  -21.7884   0.0016  -22.1509   0.0018  -22.9864   0.0800   10.856    0.032   4.921   0.009   4.226   0.007  0.272  51.30 19.639  0.034 14.298  0.025
      HCG74d  229.8820   20.8836   0.03896   0.00014   165.513  16.3098   0.0030  15.3100   0.0021  14.8743   0.0022  14.1750   0.0880  0.3646  0.2645  0.2005   0.1086   0.0451   0.0351  -0.0728  -20.3406   0.0030  -21.1767   0.0021  -21.5385   0.0022  -21.9293   0.0880   10.633    0.035   3.450   0.009   2.664   0.007  0.192 -31.80 15.432  0.041 12.469  0.033
      HCG74e  229.8660   20.9089   0.03832   0.00032   162.814  17.8182   0.0067  16.8759   0.0047  16.4528   0.0053 -99.0000 -99.0000  0.3513  0.2548  0.1932   0.0982   0.0465   0.0309 -99.0000  -18.7715   0.0067  -19.5656   0.0047  -19.9114   0.0053  -99.0000 -99.0000    9.968    0.004   2.102   0.011   1.598   0.008  0.389 -17.30  9.836  0.051  6.008  0.032
      HCG75c  230.4120   21.1770   0.04100   0.00019   174.088  16.1375   0.0027  15.2413   0.0018  14.7738   0.0022  14.0430   0.0880  0.2340  0.1697  0.1287   0.0990   0.0631   0.0373  -0.0729  -20.4867   0.0027  -21.2826   0.0018  -21.6833   0.0022  -22.1752   0.0880   10.644    0.035   4.624   0.011   3.749   0.009  0.267  73.90 19.726  0.048 14.465  0.035
      HCG75d  230.4050   21.1815   0.04114   0.00014   174.677  16.3223   0.0027  15.5907   0.0021  15.1602   0.0029  14.3310   0.1030  0.2343  0.1700  0.1289   0.0656   0.0665   0.0242  -0.0731  -20.2764   0.0027  -20.9445   0.0021  -21.2916   0.0029  -21.8946   0.1030   10.428    0.041   4.050   0.012   3.294   0.010  0.509  24.70 19.439  0.056  9.543  0.026
      HCG75e  230.3920   21.1790   0.04103   0.00100   174.197  16.3665   0.0026  15.4645   0.0016  15.1549   0.0027  14.2720   0.0840  0.2338  0.1696  0.1286   0.1050   0.0372   0.0260  -0.0838  -20.2648   0.0026  -21.0348   0.0016  -21.2922   0.0027  -21.9368   0.0840   10.551    0.034   3.638   0.011   2.952   0.009  0.579 -61.50 19.311  0.057  8.135  0.024
      HCG75f  230.3740   21.1855   0.04363   0.00022   185.134  16.7347   0.0025  15.8163   0.0020  15.5737   0.0029 -99.0000 -99.0000  0.2336  0.1694  0.1285   0.1068   0.0380   0.0256 -99.0000  -20.0359   0.0025  -20.8212   0.0020  -21.0105   0.0029  -99.0000 -99.0000   10.442    0.002   1.685   0.007   1.449   0.006  0.290  21.60  8.634  0.034  6.129  0.024
      HCG76a  232.9480    7.3081   0.03365   0.00009   143.115  15.2892   0.0013  14.3913   0.0007  13.9364   0.0009  13.1120   0.0570  0.1538  0.1115  0.0846   0.0811   0.0588   0.0344  -0.0582  -20.7960   0.0013  -21.6293   0.0007  -22.0328   0.0009  -22.6801   0.0570   10.779    0.023   4.339   0.006   2.912   0.004  0.670  23.10 24.696  0.033  8.146  0.011
      HCG76c  232.9030    7.3124   0.03557   0.00010   151.205  14.7437   0.0013  13.8564   0.0009  13.4205   0.0011  12.8710   0.0570  0.1517  0.1100  0.0834   0.0886   0.0533   0.0332  -0.0635  -21.4704   0.0013  -22.2807   0.0009  -22.6699   0.0011  -23.0392   0.0570   11.049    0.023   6.544   0.009   4.632   0.006  0.076  49.00 30.223  0.041 27.933  0.037
      HCG76d  232.9260    7.2874   0.03400   0.00010   144.609  15.2092   0.0016  14.4006   0.0010  13.9599   0.0013  13.2040   0.0850  0.1521  0.1103  0.0837   0.0669   0.0616   0.0298  -0.0586  -20.8834   0.0016  -21.6449   0.0010  -22.0271   0.0013  -22.6110   0.0850   10.741    0.034   4.621   0.007   3.133   0.005  0.076 -70.70 21.177  0.034 19.558  0.032
      HCG76e  232.9590    7.3116   0.03445   0.00017   146.490  16.6866   0.0035  15.8734   0.0024  15.4683   0.0030  14.6210   0.1540  0.1547  0.1122  0.0851   0.0731   0.0536   0.0261  -0.0619  -19.4438   0.0035  -20.1950   0.0024  -20.5455   0.0030  -21.2197   0.1540   10.171    0.062   3.221   0.010   2.211   0.007  0.216  -4.10 12.893  0.041 10.114  0.034
      HCG76g  232.9000    7.3498   0.03283   0.00027   139.666  16.8871   0.0060  16.1312   0.0040  15.6768   0.0047  14.8390   0.1670  0.1523  0.1104  0.0837   0.0536   0.0621   0.0296  -0.0555  -19.1144   0.0060  -19.8369   0.0040  -20.2321   0.0047  -20.9011   0.1670   10.008    0.067   6.626   0.021   4.344   0.014  0.795  47.60 35.239  0.114  7.218  0.026
      HCG81a  244.5570   12.8029   0.04895   0.00015   207.469  16.4573   0.0027  15.7934   0.0021  15.3802   0.0022  14.4940   0.0820  0.2437  0.1767  0.1340   0.0655   0.0725   0.0149  -0.0883  -20.5404   0.0027  -21.1444   0.0021  -21.4573   0.0022  -22.1063   0.0820   10.467    0.033   3.110   0.006   2.982   0.006  0.419 -74.60 13.301  0.026  7.731  0.015
      HCG81b  244.5590   12.7887   0.05054   0.00031   214.091  16.2167   0.0025  15.2991   0.0016  14.8310   0.0016  13.9640   0.0700  0.2448  0.1776  0.1347   0.1275   0.0724   0.0433  -0.0907  -20.9157   0.0025  -21.7109   0.0016  -22.1070   0.0016  -22.7054   0.0700   10.822    0.028   3.179   0.005   3.141   0.005  0.449  86.90 16.359  0.028  9.007  0.015
      HCG82a  247.0930   32.8493   0.03728   0.00010   158.429  14.1883   0.0009  13.3132   0.0007  12.8912   0.0008  12.2770   0.0340  0.0804  0.0583  0.0442   0.0952   0.0535   0.0346  -0.0671  -22.0660   0.0009  -22.8772   0.0007  -23.2662   0.0008  -23.7346   0.0340   11.294    0.014  10.334   0.008   7.652   0.006  0.275 -50.00 41.898  0.033 30.368  0.024
      HCG82b  247.1160   32.8464   0.03485   0.00012   148.165  14.7434   0.0013  13.8902   0.0010  13.4317   0.0012  12.6740   0.0390  0.0816  0.0592  0.0449   0.0808   0.0604   0.0354  -0.0602  -21.3471   0.0013  -22.1575   0.0010  -22.5766   0.0012  -23.1939   0.0390   10.988    0.016   8.217   0.011   5.704   0.007  0.220 -45.40 35.461  0.046 27.657  0.033
      HCG82c  247.0860   32.8106   0.03367   0.00013   143.212  15.6404   0.0030  14.7554   0.0021  14.3291   0.0025  13.6340   0.0510  0.0805  0.0584  0.0443   0.0908   0.0433   0.0323  -0.0615  -20.3828   0.0030  -21.1981   0.0021  -21.5993   0.0025  -22.1563   0.0510   10.641    0.020   6.780   0.015   4.554   0.010  0.550  65.70 33.540  0.075 15.102  0.032
      HCG82d  247.0700   32.8133   0.03898   0.00015   165.568  16.3120   0.0021  15.4742   0.0016  15.0617   0.0018  14.3510   0.0650  0.0803  0.0583  0.0442   0.0934   0.0548   0.0325  -0.0706  -20.0396   0.0021  -20.8168   0.0016  -21.1929   0.0018  -21.7563   0.0650   10.455    0.026   2.179   0.006   1.683   0.005  0.618  39.50 13.691  0.037  5.225  0.013
      HCG84a  251.0950   77.8388   0.05555   0.00020   235.071  15.0839   0.0020  14.1871   0.0014  13.7384   0.0015  13.1860   0.0750  0.1440  0.1044  0.0792   0.1442   0.0756   0.0454  -0.1004  -22.1776   0.0020  -22.9663   0.0014  -23.3596   0.0015  -23.6870   0.0750   11.329    0.030   6.803   0.010   7.345   0.011  0.302 -88.40 26.565  0.038 18.531  0.026
      HCG84b  251.0560   77.8586   0.05522   0.00024   233.676  16.1614   0.0027  15.2671   0.0018  14.8285   0.0021  14.1730   0.1030  0.1434  0.1040  0.0789   0.1429   0.0727   0.0444  -0.1005  -21.0847   0.0027  -21.8694   0.0018  -22.2546   0.0021  -22.6863   0.1030   10.890    0.041   3.358   0.009   3.606   0.010  0.548  32.50 16.876  0.044  7.625  0.020
      HCG84c  251.1250   77.8303   0.05455   0.00024   230.876  16.1016   0.0038  15.2430   0.0026  14.7550   0.0031  14.3010   0.1110  0.1440  0.1045  0.0792   0.1299   0.0875   0.0425  -0.0967  -21.1045   0.0038  -21.8812   0.0026  -22.2989   0.0031  -22.5345   0.1110   10.877    0.044   5.006   0.015   5.314   0.016  0.466 -63.10 23.419  0.069 12.498  0.039
      HCG84d  251.0100   77.8565   0.05604   0.00031   237.105  17.0508   0.0033  16.1311   0.0023  15.6682   0.0025 -99.0000 -99.0000  0.1428  0.1036  0.0785   0.1460   0.0832   0.0516 -99.0000  -20.2311   0.0033  -21.0487   0.0023  -21.4550   0.0025  -99.0000 -99.0000   10.563    0.002   1.727   0.006   1.880   0.006  0.601   5.70 10.128  0.034  4.042  0.013
      HCG84e  251.1120   77.8381   0.05654   0.00027   239.192  17.0254   0.0109  16.2085   0.0092  15.7851   0.0097  14.9650   0.1690  0.1443  0.1046  0.0793   0.1314   0.0698   0.0311  -0.1060  -20.2634   0.0109  -20.9791   0.0092  -21.3385   0.0097  -21.9422   0.1690   10.506    0.068   3.414   0.032   3.747   0.035  0.188 -69.60 10.567  0.098  8.576  0.076
      HCG88a  313.1480   -5.7111   0.02012   0.00008    85.854  13.6509   0.0010  12.8503   0.0008  12.4152   0.0009  11.6150   0.0330  0.3038  0.2204  0.1671   0.0331   0.0336   0.0181  -0.0353  -21.3981   0.0010  -22.1157   0.0008  -22.4821   0.0009  -23.0618   0.0330   10.906    0.013  13.023   0.011   5.314   0.005  0.597  35.60 58.752  0.051 23.662  0.022
      HCG88b  313.1240   -5.7461   0.02066   0.00005    88.108  13.7127   0.0012  12.9170   0.0009  12.5187   0.0011  11.8670   0.0470  0.3018  0.2189  0.1660   0.0358   0.0333   0.0156  -0.0372  -21.3944   0.0012  -22.1047   0.0009  -22.4324   0.0011  -22.8653   0.0470   10.884    0.019  13.309   0.015   5.570   0.006  0.220  62.10 47.938  0.052 37.415  0.038
      HCG88c  313.1080   -5.7723   0.01987   0.00002    84.766  14.4042   0.0021  13.7969   0.0019  13.5523   0.0025  13.7410   0.0910  0.2929  0.2125  0.1611   0.0221   0.0230  -0.0001  -0.0438  -20.5947   0.0021  -21.1224   0.0019  -21.2925   0.0025  -20.8991   0.0910   10.351    0.036  12.229   0.025   4.928   0.010  0.068  79.90 38.128  0.077 35.546  0.075
      HCG88d  313.0530   -5.7983   0.02015   0.00001    85.972  15.4646   0.0033  14.8492   0.0026  14.5206   0.0029  13.9450   0.0930  0.2809  0.2038  0.1545   0.0198   0.0263   0.0078  -0.0377  -19.5512   0.0033  -20.0960   0.0026  -20.3568   0.0029  -20.7324   0.0930    9.999    0.037   8.480   0.020   3.465   0.008  0.772 -20.10 45.255  0.109 10.295  0.026
      HCG89a  320.0040   -3.9221   0.02938   0.00003   125.081  14.9335   0.0023  14.4325   0.0024  14.1552   0.0029  13.8240   0.1130  0.2349  0.1704  0.1292   0.0189   0.0437  -0.0023  -0.0568  -20.8692   0.0023  -21.3305   0.0024  -21.5205   0.0029  -21.6680   0.1130   10.424    0.045  11.657   0.026   6.867   0.015  0.468 -35.10 43.570  0.096 23.202  0.052
      HCG89b  320.0800   -3.8960   0.02963   0.00015   126.151  15.5874   0.0029  15.1609   0.0031  14.8558   0.0040  14.8340   0.1550  0.2216  0.1607  0.1219   0.0084   0.0417  -0.0001  -0.0550  -20.2104   0.0029  -20.6094   0.0031  -20.8338   0.0040  -20.6788   0.1550   10.164    0.062   7.707   0.024   4.578   0.014  0.500  52.40 32.681  0.100 16.331  0.047
      HCG89c  320.0350   -3.9176   0.02959   0.00013   125.982  16.0142   0.0033  15.5037   0.0035  15.2076   0.0043  14.8750   0.1600  0.2320  0.1683  0.1276   0.0198   0.0438   0.0005  -0.0561  -19.8024   0.0033  -20.2733   0.0035  -20.4854   0.0043  -20.6337   0.1600   10.027    0.064   5.892   0.021   3.495   0.012  0.441 -86.80 24.140  0.084 13.497  0.045
      HCG89d  320.0330   -3.9084   0.02954   0.00011   125.770  16.6655   0.0040  16.4345   0.0055  16.2502   0.0078 -99.0000 -99.0000  0.2302  0.1670  0.1266  -0.0194   0.0598  -0.0195 -99.0000  -19.1064   0.0040  -19.3534   0.0055  -19.4180   0.0078  -99.0000 -99.0000    9.494    0.004   4.278   0.022   2.534   0.013  0.507 -12.70 17.660  0.090  8.703  0.049
      HCG92e  338.9660   33.9449   0.02201   0.00009    93.868  14.5235   0.0011  13.6738   0.0008  13.1616   0.0009  12.4470   0.0410  0.3027  0.2195  0.1665   0.0361   0.0428   0.0265  -0.0364  -20.7252   0.0011  -21.4985   0.0008  -21.9412   0.0009  -22.4265   0.0410   10.704    0.016   5.605   0.006   2.496   0.003  0.159  -3.60 25.156  0.029 21.153  0.024
      HCG92f  339.0850   33.9850   0.01996   0.00003    85.174  15.7269   0.0033  14.9333   0.0026  14.5430   0.0032  14.3730   0.0790  0.2957  0.2144  0.1626   0.0438   0.0171   0.0126  -0.0418  -19.3071   0.0033  -19.9927   0.0026  -20.3267   0.0032  -20.2796   0.0790   10.114    0.032   8.882   0.023   3.596   0.009  0.123 -84.70 27.420  0.072 24.037  0.064
      HCG93a  348.8170   18.9618   0.01692   0.00007    72.229  12.9085   0.0006  11.9551   0.0004  11.4764   0.0005  10.7620   0.0250  0.5190  0.3764  0.2854   0.0350   0.0281   0.0173  -0.0300  -21.9755   0.0006  -22.7794   0.0004  -23.1563   0.0005  -23.5380   0.0250   11.199    0.010  15.981   0.009   5.503   0.003  0.062  55.80 66.556  0.037 62.424  0.035
      HCG93b  348.8220   19.0417   0.01580   0.00001    67.468  13.6173   0.0011  12.9273   0.0009  12.5226   0.0010  12.1390   0.0430  0.5547  0.4023  0.3051   0.0149   0.0168   0.0084  -0.0295  -21.1319   0.0011  -21.6713   0.0009  -21.9704   0.0010  -22.0110   0.0430   10.663    0.017  14.752   0.015   4.750   0.005  0.516 -66.50 84.121  0.083 40.726  0.028
      HCG93c  348.7640   18.9734   0.01592   0.00003    67.975  14.1472   0.0010  13.1860   0.0007  12.6528   0.0007  11.8200   0.0310  0.5365  0.3891  0.2951   0.0319   0.0270   0.0187  -0.0277  -20.6173   0.0010  -21.4262   0.0007  -21.8570   0.0007  -22.3484   0.0310   10.678    0.012   9.807   0.008   3.181   0.003  0.557  14.80 52.955  0.044 23.471  0.019
      HCG93d  348.8880   19.0482   0.01726   0.00011    73.662  15.1938   0.0014  14.2344   0.0010  13.7365   0.0009  12.8770   0.0480  0.5467  0.3965  0.3007   0.0351   0.0295   0.0183  -0.0302  -19.7613   0.0014  -20.5649   0.0010  -20.9558   0.0009  -21.4661   0.0480   10.313    0.019   4.135   0.006   1.452   0.002  0.110  76.30 19.035  0.026 16.951  0.023
      HCG94c  349.3340   18.7349   0.03976   0.00008   168.850  15.6005   0.0019  14.6348   0.0014  14.1797   0.0014  13.3300   0.0610  0.2680  0.1944  0.1474   0.1086   0.0547   0.0386  -0.0718  -20.9982   0.0019  -21.8364   0.0014  -22.2284   0.0014  -22.8204   0.0610   10.893    0.024   4.755   0.008   3.743   0.006  0.594  74.10 28.598  0.047 11.604  0.019
      HCG94e  349.3140   18.7274   0.04086   0.00034   173.499  17.0562   0.0061  16.1066   0.0047  15.7015   0.0048  15.2980   0.3680  0.2700  0.1959  0.1485   0.1109   0.0451   0.0336  -0.0779  -19.6082   0.0061  -20.4178   0.0047  -20.7641   0.0048  -20.9075   0.3680   10.322    0.147   5.430   0.022   4.388   0.017  0.733 -88.20 28.522  0.113  7.630  0.033
      HCG94f  349.3270   18.7396   0.04349   0.00007   184.546  17.3129   0.0050  16.2995   0.0040  15.8853   0.0041  15.0980   0.1760  0.2714  0.1968  0.1493   0.1246   0.0529   0.0405  -0.0806  -19.5061   0.0050  -20.3732   0.0040  -20.7274   0.0041  -21.2444   0.1760   10.312    0.070   2.271   0.011   1.947   0.009  0.162  61.20 11.171  0.053  9.365  0.046
      HCG94g  349.3330   18.7495   0.04403   0.00038   186.814  17.7332   0.0055  16.8577   0.0042  16.4168   0.0042  15.8420   0.1370  0.2731  0.1981  0.1502   0.1071   0.0542   0.0318  -0.0825  -19.0977   0.0055  -19.8452   0.0042  -20.2158   0.0042  -20.5261   0.1370   10.071    0.055   1.818   0.009   1.577   0.008  0.474 -55.60  9.461  0.046  4.973  0.023
      HCG95d  349.8660    9.4944   0.04120   0.00032   174.900  16.5547   0.0037  15.6671   0.0027  15.1878   0.0027  14.1020   0.0910  0.1753  0.1271  0.0964   0.0966   0.0715   0.0406  -0.0715  -20.0187   0.0037  -20.8331   0.0027  -21.2508   0.0027  -22.1281   0.0910   10.458    0.036   5.159   0.014   4.201   0.012  0.819  56.70 28.714  0.080  5.211  0.015
      HCG96a  351.9860    8.7790   0.02892   0.00003   123.148  13.4682   0.0008  12.9680   0.0007  12.6302   0.0007  11.6360   0.0450  0.2249  0.1631  0.1237   0.0099   0.0557   0.0089  -0.0496  -22.2806   0.0008  -22.7649   0.0007  -23.0164   0.0007  -23.8285   0.0450   11.040    0.018  11.537   0.010   6.694   0.006  0.091  47.00 38.753  0.032 35.243  0.030
      HCG96b  352.0250    8.7686   0.02874   0.00014   122.370  14.3972   0.0013  13.5186   0.0008  13.0823   0.0008  12.2390   0.0430  0.2223  0.1612  0.1222   0.0642   0.0492   0.0268  -0.0501  -21.3892   0.0013  -22.1917   0.0008  -22.5667   0.0008  -23.2108   0.0430   10.981    0.017   5.837   0.006   3.366   0.004  0.210 -53.10 28.646  0.032 22.629  0.025
      HCG96c  351.9950    8.7828   0.02953   0.00003   125.698  15.5135   0.0018  14.7286   0.0011  14.2537   0.0012  13.3020   0.0550  0.2240  0.1625  0.1232   0.0459   0.0592   0.0296  -0.0489  -20.3162   0.0018  -21.0530   0.0011  -21.4590   0.0012  -22.2089   0.0550   10.496    0.022   3.056   0.005   1.809   0.003  0.308 -41.90 15.178  0.027 10.500  0.020
      HCG96d  352.0010    8.7673   0.02994   0.00019   127.432  16.7134   0.0037  16.3363   0.0035  16.1043   0.0042 -99.0000 -99.0000  0.2238  0.1623  0.1231   0.0008   0.0543  -0.0112 -99.0000  -19.1017   0.0037  -19.4707   0.0035  -19.5981   0.0042  -99.0000 -99.0000    9.583    0.003   2.723   0.012   1.633   0.007  0.463 -88.70 11.970  0.051  6.427  0.027
      HCG97a  356.8460   -2.3007   0.02312   0.00007    98.580  13.5807   0.0008  12.7216   0.0007  12.3111   0.0007  11.6990   0.0420  0.1282  0.0930  0.0705   0.0507   0.0402   0.0230  -0.0400  -21.6168   0.0008  -22.4302   0.0007  -22.8010   0.0007  -23.2796   0.0420   11.069    0.017  14.644   0.010   6.841   0.005  0.314  62.70 52.001  0.036 35.653  0.024
      HCG97b  356.9080   -2.3167   0.02224   0.00007    94.814  15.2324   0.0022  14.4499   0.0017  14.0834   0.0018  13.2600   0.0660  0.1348  0.0978  0.0741   0.0421   0.0364   0.0171  -0.0398  -19.8766   0.0022  -20.6164   0.0017  -20.9400   0.0018  -21.6323   0.0660   10.302    0.026   9.758   0.016   4.388   0.007  0.818  49.10 52.463  0.084  9.531  0.018
      HCG97c  356.8490   -2.3512   0.02002   0.00009    85.429  14.5105   0.0011  13.7404   0.0009  13.3354   0.0010  12.7210   0.0510  0.1293  0.0938  0.0711   0.0339   0.0350   0.0185  -0.0349  -20.3538   0.0011  -21.0895   0.0009  -21.4553   0.0010  -21.9451   0.0510   10.494    0.020   6.340   0.008   2.574   0.003  0.383 -52.60 30.901  0.039 19.080  0.023
      HCG97e  356.8330   -2.2807   0.02223   0.00008    94.801  16.0593   0.0026  15.2198   0.0021  14.8250   0.0024  14.4850   0.1090  0.1258  0.0912  0.0692   0.0505   0.0324   0.0202  -0.0402  -19.0488   0.0026  -19.8357   0.0021  -20.1961   0.0024  -20.4067   0.1090   10.045    0.044   2.993   0.008   1.346   0.004  0.231  -4.40 15.201  0.043 11.691  0.035
      HCG99a    0.1581   28.3846   0.02904   0.00003   123.626  14.4925   0.0010  13.6396   0.0007  13.0622   0.0008  12.2190   0.0400  0.2338  0.1696  0.1286   0.0410   0.0742   0.0414  -0.0462  -21.3050   0.0010  -22.1269   0.0007  -22.6305   0.0008  -23.2576   0.0400   10.993    0.016   8.639   0.008   5.032   0.005  0.582 -89.20 39.546  0.038 16.524  0.017
      HCG99b    0.1957   28.4020   0.02923   0.00006   124.459  14.2466   0.0010  13.3127   0.0008  12.8588   0.0009  12.0260   0.0510  0.2357  0.1710  0.1296   0.0723   0.0497   0.0307  -0.0506  -21.5992   0.0010  -22.4457   0.0008  -22.8392   0.0009  -23.4611   0.0510   11.109    0.020   8.537   0.009   5.005   0.005  0.145 -60.00 36.416  0.039 31.125  0.032
      HCG99c    0.1833   28.4014   0.02721   0.00011   115.892  14.9955   0.0020  14.0955   0.0015  13.6537   0.0017  13.2170   0.0660  0.2354  0.1708  0.1295   0.0681   0.0378   0.0260  -0.0491  -20.6866   0.0020  -21.4917   0.0015  -21.8804   0.0017  -22.1125   0.0660   10.737    0.026  10.304   0.014   5.636   0.008  0.318   4.20 38.317  0.053 26.124  0.041
      HCG99d    0.1879   28.3717   0.02883   0.00027   122.751  16.7535   0.0037  15.8434   0.0030  15.4382   0.0035  14.9570   0.1620  0.2338  0.1696  0.1286   0.0733   0.0372   0.0256  -0.0532  -19.0604   0.0037  -19.8702   0.0030  -20.2229   0.0035  -20.4966   0.1620   10.088    0.065   3.648   0.012   2.110   0.007  0.417  72.40 16.158  0.054  9.423  0.034
      HCG99e    0.1767   28.3690   0.03004   0.00032   127.884  17.2143   0.0033  16.3634   0.0026  15.9454   0.0031  14.8150   0.1550  0.2338  0.1696  0.1286   0.0638   0.0506   0.0251  -0.0528  -18.6817   0.0033  -19.4552   0.0026  -19.8066   0.0031  -20.7305   0.1550    9.872    0.062   1.825   0.007   1.098   0.004  0.298  12.40  8.207  0.033  5.759  0.024
 LEDA3080767   75.5232   -4.5003   0.01321   0.00015    56.441  14.8426   0.0022  14.3618   0.0018  14.0589   0.0028  13.9480   0.1040  0.3319  0.2407  0.1825   0.0029   0.0109   0.0034  -0.0251  -19.2787   0.0022  -19.6762   0.0018  -19.9134   0.0028  -19.8134   0.1040    9.788    0.042   9.831   0.022   2.655   0.006  0.438 -69.60 39.470  0.086 22.175  0.047
