HCG ra dec z err_z Dist(Mpc) mag_g e_mag_g mag_r e_mag_r mag_i e_mag_i mag_k e_mag_k ext_g ext_r ext_i cork_g cork_r cork_i cork_k Mag_g e_Mag_g Mag_r e_Mag_r Mag_i e_Mag_i Mag_Ks e_Mag_Ks log_SM(H0=70) e_log(SM) R50(arcsec) e_R50(arcsec) R50(kpc) e_R50(kpc) ELLIPTICITY THETA_IMAGE a(arcsec) e_a(arcsec) b(arcsec) e_b(arcsec)
      HCG12c   21.9059   -4.6612   0.04860   0.00022   205.973  17.2052   0.0029  16.3313   0.0021  15.9035   0.0021  15.0970   0.1230  0.1675  0.1215  0.0921   0.1189   0.0640   0.0382  -0.0886  -19.7533   0.0029  -20.5263   0.0021  -20.8989   0.0021  -21.4865   0.1230   10.341    0.049   1.390   0.004   1.324   0.004  0.541  -4.20  7.248  0.023  3.331  0.011
      HCG12d   21.9048   -4.6687   0.04750   0.00021   201.387  17.3233   0.0083  16.4995   0.0062  16.0308   0.0062  15.5620   0.1930  0.1680  0.1218  0.0924   0.1081   0.0711   0.0344  -0.0855  -19.5737   0.0083  -20.3144   0.0062  -20.7169   0.0062  -20.9735   0.1930   10.245    0.077   3.986   0.019   3.715   0.018  0.529 -25.00 18.363  0.089  8.648  0.042
      HCG12e   21.8660   -4.6774   0.04826   0.00021   204.573  17.6060   0.0047  16.7654   0.0034  16.3425   0.0035 -99.0000 -99.0000  0.1720  0.1247  0.0946   0.1087   0.0647   0.0354 -99.0000  -19.3313   0.0047  -20.0807   0.0034  -20.4441   0.0035  -99.0000 -99.0000   10.143    0.003   1.359   0.007   1.286   0.006  0.455  65.00  7.274  0.035  3.965  0.016
      HCG13a   23.0854   -7.8596   0.04159   0.00014   176.569  14.9081   0.0023  14.0702   0.0017  13.5957   0.0018  12.7000   0.0590  0.1192  0.0865  0.0656   0.0903   0.0740   0.0392  -0.0720  -21.6245   0.0023  -22.4133   0.0017  -22.8321   0.0018  -23.5511   0.0590   11.078    0.024   9.887   0.015   8.125   0.012  0.614  18.80 48.335  0.073 18.675  0.029
      HCG13b   23.0930   -7.8732   0.04138   0.00015   175.699  14.9533   0.0024  14.1121   0.0019  13.6558   0.0022  13.1430   0.0910  0.1177  0.0853  0.0647   0.0949   0.0658   0.0368  -0.0732  -21.5712   0.0024  -22.3510   0.0019  -22.7576   0.0022  -23.0957   0.0910   11.063    0.036   9.696   0.021   7.931   0.017  0.140  53.20 34.845  0.074 29.979  0.064
      HCG13d   23.0798   -7.8961   0.04073   0.00036   172.923  17.1082   0.0029  16.2636   0.0023  15.8752   0.0028  14.8860   0.1330  0.1157  0.0839  0.0636   0.0982   0.0512   0.0307  -0.0760  -19.3817   0.0029  -20.1475   0.0023  -20.4951   0.0028  -21.3140   0.1330   10.186    0.053   1.358   0.006   1.094   0.004  0.357 -37.70  6.534  0.027  4.199  0.016
      HCG13e   23.1083   -7.8695   0.04201   0.00020   178.310  17.1407   0.0058  16.3264   0.0050  15.8917   0.0057  15.4850   0.2230  0.1174  0.0852  0.0646   0.0945   0.0603   0.0326  -0.0760  -19.4164   0.0058  -20.1643   0.0050  -20.5507   0.0057  -20.7842   0.2230   10.183    0.089   3.042   0.016   2.524   0.013  0.331  87.30 13.064  0.067  8.733  0.046
      HCG15a   31.9712    2.1676   0.02324   0.00010    99.072  14.2995   0.0011  13.4676   0.0008  13.0048   0.0008  12.1110   0.0410  0.1151  0.0835  0.0633   0.0437   0.0462   0.0269  -0.0384  -20.8890   0.0011  -21.6917   0.0008  -22.1150   0.0008  -22.8802   0.0410   10.773    0.016   7.082   0.008   3.324   0.004  0.464  40.80 41.022  0.046 21.996  0.025
      HCG15b   31.8921    2.1152   0.02374   0.00012   101.197  14.4072   0.0012  13.5939   0.0010  13.2094   0.0011  12.6860   0.0560  0.1109  0.0804  0.0610   0.0497   0.0385   0.0205  -0.0421  -20.8301   0.0012  -21.6018   0.0010  -21.9489   0.0011  -22.3487   0.0560   10.726    0.022   6.885   0.009   3.299   0.004  0.116 -23.80 32.409  0.044 28.656  0.039
      HCG15c   31.9158    2.1497   0.02420   0.00005   103.159  14.3461   0.0011  13.5525   0.0009  13.1326   0.0009  12.7560   0.0470  0.1126  0.0817  0.0620   0.0478   0.0400   0.0227  -0.0420  -20.9338   0.0011  -21.6887   0.0009  -22.0715   0.0009  -22.3215   0.0470   10.764    0.019   6.635   0.008   3.240   0.004  0.050  27.00 30.123  0.036 28.624  0.035
